"id","corporateItemCd","upcId","rogCd","productHierarchy.productClass.productClassNm","productHierarchy.productClass.productClassCd","productHierarchy.productClass.retailSectionCd","productHierarchy.productSubClassLevel1.productSubClassNm","productHierarchy.productSubClassLevel1.productSubClassCd","productHierarchy.productSubClassLevel2.productSubClassNm","productHierarchy.productSubClassLevel2.productSubClassCd","productHierarchy.productGroup.productGroupNm","productHierarchy.productGroup.productGroupCd","productHierarchy.productCategory.productCategoryNm","productHierarchy.productCategory.productCategoryCd","pullDateInd","vendorId","vendorSubAccountNbr","priceLookUpCd","itemDescription.internetItemDsc","shelfLifeDys","dimension.shipUnitDimensions.shipUnitWtUOMCd","dimension.shipUnitDimensions.shipUnitWt","dimension.shipUnitDimensions.shipUnitPackQty","dimension.shelfUnitDimensions.itemPackUOMCd","departmentId","itemSourcingType.dsdInd","itemSourcingType.warehouseInd","vendorNm"
"SNCA-27053572-080717671146","27053572","080717671146","SNCA","ASIAN SAUCES","1","301","ASIAN COOKING SAUCES","5","ASIAN COOKING SAUCES","5","ETHNIC"," GOURMET & SPECIALTY","27","ASIAN FOODS","5","","006446","001","0","BIBIGO SAUCE HOT SWEET GOCHUJANG","0","LB","0.001","6.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-25250584-005260305631","25250584","005260305631","SNCA","ORGANIC BROTH","10","302","CHICKEN ORGANIC BROTH","1","CHICKEN ORGANIC BROTH","1","SOUPS","25","BROTH","25","","006446","001","0","PACIFIC FOODS STOCK CHICKEN UNSLTD ORGANIC","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-88551323-004242114014","88551323","004242114014","SNCA","DINNER SAUSAGE COOKED/SMOKED","25","333","CKD/SMKD OTHER DINNER SSG","85","CKD/SMKD OTHER DINNER SSG","85","MEAT","88","DINNER SAUSAGE","55","","025586","001","0","BOARS HEAD BLAZING BUFFALO CHICKEN SAUSAGE","0","LB","0.001","1.00","I","","Y","N","SF BAY AREA PROVISIONS INC"
"SNCA-42052966-085103500364","42052966","085103500364","SNCA","ALL FAMILY NOVELTIES","5","317","ICE CREAM BASED ALL FAMILY NOVELTIES","1","ICE CREAM BASED ALL FAMILY NOVELTIES","1","ICE CREAM","42","NOVELTIES","5","","006446","001","0","YASSO BAR PISTACHIO BRITTLE","0","LB","0.001","8.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-8100351-007618332357","8100351","007618332357","SNCA","READY TO DRINK TEA","1","313","MULTI-SERVE >24Z  RTD TEA","10","MULTI-SERVE >24Z  RTD TEA","10","NON CARBONATED BEVERAGES","3","READY TO DRINK TEA AND COFFEE","10","","001906","012","0","SNAPPLE PEACH DIET ICED TEA","0","LB","0.001","12.00","I","","Y","N","7UP BOTTLING CO."
"SNCA-27053564-001428500023","27053564","001428500023","SNCA","ASIAN NOODLES","10","301","PACKAGED ASIAN NOODLES","5","PACKAGED ASIAN NOODLES","5","ETHNIC"," GOURMET & SPECIALTY","27","ASIAN FOODS","5","","004294","001","null","UFC CANTON NOODLE","0","LB","0.001","1.00","I"
"SNCA-8050631-001200000131","8050631","001200000131","SNCA","CSD <= 24 OZ SINGLE","30","313","PEPSI CSD <= 24 OZ SINGLE","1","PEPSI CSD <= 24 OZ SINGLE","1","CARBONATED BEVERAGES & MIXERS","8","CARBONATED SOFT DRINKS","1","","001390","022","0","MOUNTAIN DEW SODA","60","LB","0.001","24.00","I","","Y","N","PEPSI COLA BOTTLING CO"
"SNCA-42011466-078483010010","42011466","078483010010","SNCA","SUPER PREMIUM PACKAGED ICE CREAM","1","317","TRADITIONAL SUPER PREM PACKAGED ICE CREAM","1","TRADITIONAL SUPER PREM PACKAGED ICE CREAM","1","ICE CREAM","42","PACKAGED ICE CREAM","1","","006446","001","0","STRAUS FAMILY CREAMERY ORGANIC DUTCH CHOCOLATE ICE CREAM","0","LB","0.001","8.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-9015086-002840064640","9015086","002840064640","SNCA","POTATO CHIPS TAKE HOME BAG/CANISTER SNACK","1","338","FLAT POTATO CHIPS TAKE HOME BAG/CANISTER SNACK","1","FLAT POTATO CHIPS TAKE HOME BAG/CANISTER SNACK","1","SALTY SNACKS","9","SALTY BAGGED/CANISTER SNACKS","1","","001479","004","0","LAYS SALT & VINEGAR FAMILY SIZE","0","LB","0.001","1.00","I","","Y","N","FRITO LAY INC"
"SNCA-29950132-004133112466","29950132","004133112466","SNCA","CENTRAL/SOUTH AMERICAN FOODS","0","301","CENTRAL/SOUTH AMERICAN FOODS","0","CENTRAL/SOUTH AMERICAN FOODS","0","HISPANIC FOODS","29","CENTRAL/SOUTH AMERICAN FOODS","75","","006446","001","0","GOYA BLACK BEANS","0","LB","0.001","24.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-89020577-085961200130","89020577","085961200130","SNCA","CRAFT BEER","15","305","ALE CRAFT BEER","1","ALE CRAFT BEER","1","ALCOHOLIC BEVERAGES","89","BEER","1","","003378","001","0","21ST AMENDMENT BLAH BLAH BLAH IPA IN CANS","0","LB","0.001","4.00","I","","Y","N","BAY AREA BEVERAGE CO"
"SNCA-8051376-007800005216","8051376","007800005216","SNCA","CSD 12 OZ 12PK CANS","5","313","DR PEPPER/7-UP CSD 12 OZ 12PK CANS","10","DR PEPPER/7-UP CSD 12 OZ 12PK CANS","10","CARBONATED BEVERAGES & MIXERS","8","CARBONATED SOFT DRINKS","1","","001906","012","0","A&W ROOT BEER COOL PACK SODA","0","LB","0.001","2.00","I","","Y","N","7UP BOTTLING CO."
"SNCA-13300587-085609600310","13300587","085609600310","SNCA","BREAKFAST MUFFIN BAKING MIX","15","302","PREMIUM BREAKFAST MUFFIN BAKING MIX","1","PREMIUM BREAKFAST MUFFIN BAKING MIX","1","DESSERT & BAKING MIXES","13","BAKING MIXES","30","","006446","001","0","CHERRYVAL MUFFIN MIX BLUEBERRY","0","LB","0.001","6.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-27051441-006264607009","27051441","006264607009","SNCA","ASIAN SOUPS","20","301","BOUILLION ASIAN SOUP","20","BOUILLION ASIAN SOUP","20","ETHNIC"," GOURMET & SPECIALTY","27","ASIAN FOODS","5","","004959","006","0","KNORR CHICKEN BOUILLON","0","LB","0.001","24.00","I","","Y","N","JFC INTL INC"
"SNCA-82041317-007790100776","82041317","007790100776","SNCA","DELI CHEESE TABLE","15","309","DELI CHEESE TABLE FETA","7","DELI CHEESE TABLE FETA","7","TRADITIONAL DELI","82","DELI CHEESE","4","","006446","002","0","PRESIDENT FAT FREE PLAIN FETA CHEESE CHUNK","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-84830273-001405406405","84830273","001405406405","SNCA","REFRIGERATED PREMIUM SMOOTHIE","5","329","OTHER REFRIGERATED PREMIUM SMOOTHIE","25","OTHER REFRIGERATED PREMIUM SMOOTHIE","25","FRESH PRODUCE","84","REFRIGERATED PREMIUM DRINKS","83","","003811","001","0","ODWALLA SUPERFOOD ORIGINAL","60","LB","0.001","1.00","I","","Y","N","ODWALLA INC"
"SNCA-27051374-007488003072","27051374","007488003072","SNCA","ASIAN SPICES","40","301","ASIAN SPICES","0","ASIAN SPICES","0","ETHNIC"," GOURMET & SPECIALTY","27","ASIAN FOODS","5","","004215","001","0","S&B SAUCE CURRY GOLDEN MIX HOT","60","LB","0.001","1.00","I","","Y","N","JFC INTERNATIONAL INC"
"SNCA-9013470-002840005410","9013470","002840005410","SNCA","TORTILLA CHIPS TAKE HOME BAG/CANISTER SNACK","5","338","FLAVORED TORTILLA CHIPS TAKE HOME BAG/CAN","5","FLAVORED TORTILLA CHIPS TAKE HOME BAG/CAN","5","SALTY SNACKS","9","SALTY BAGGED/CANISTER SNACKS","1","","001479","004","0","TOSTITOS SALSA RANCHERA","0","LB","0.001","1.00","I","","Y","N","FRITO LAY INC"
"SNCA-20030376-085725200603","20030376","085725200603","SNCA","KIDS DRINKS","5","301","SINGLE (4PKS - 12PKS)"," KIDS DRINKS","5","SINGLE (4PKS - 12PKS)"," KIDS DRINKS","5","SHELF STABLE JUICES AND DRINKS","20","KIDS - JUICES & DRINKS","3","","006446","001","0","BOSSI TEA ICED KIDS STWRBRY ORG","0","LB","0.001","4.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-3251276-085194900452","3251276","085194900452","SNCA","ALL OTHER FLAVORED/FUNCTIONAL WATER","40","313","FULL CALORIE ALL OTHER WATER","1","FULL CALORIE ALL OTHER WATER","1","NON CARBONATED BEVERAGES","3","FLAVORED/FUNCTIONAL WATER","25","","006446","001","0","ROAR BEVE BEV BLUEBERRY ACAI","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-42010277-078978576444","42010277","078978576444","SNCA","ALL FAMILY NOVELTIES","5","317","FRUIT/WATER BASED ALL FAMILY NOVELTIES","5","FRUIT/WATER BASED ALL FAMILY NOVELTIES","5","ICE CREAM","42","NOVELTIES","5","","","","null","SKINNY COW ICE CREAM SWCH VAN SNCKR","0","LB","0.001","6.00","I"
"SNCA-29850085-007885851017","29850085","007885851017","SNCA","TORTILLAS HISPANIC TORTILLAS & TOSTADAS","1","301","CORN TORTILLAS HISPANIC","5","CORN TORTILLAS HISPANIC","5","HISPANIC FOODS","29","HISPANIC TORTILLAS & TOSTADAS","85","","003734","001","0","LA TORTILLA FACTORY HAND MADE YELLOW CORN TORTILLAS 8 CT","0","LB","0.001","1.00","I","","Y","N","LA TORTILLA FACTORY"
"SNCA-45050207-002531700591","45050207","002531700591","SNCA","PROTEIN BASED FROZEN BREAKFAST MEAT ITEM","10","317","BREAKFAST MEAT PATTIES FROZEN BREAKFAST ITEM","5","BREAKFAST MEAT PATTIES FROZEN BREAKFAST ITEM","5","FROZEN BREAKFAST ITEMS","45","PROTEIN BASED FROZEN BREAKFAST ITEMS","5","","006446","001","0","APPLEGATE MAPLE BREAKFAST SAUSAGE","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-48850351-001115245409","48850351","001115245409","SNCA","ALL OTHER FROZEN PREPARED FOODS","0","317","ALL OTHER FROZEN PREPARED FOODS","0","ALL OTHER FROZEN PREPARED FOODS","0","PREPARED FROZEN FOODS","48","ALL OTHER FROZEN PREPARED FOODS","85","","006446","001","0","MYOJO YAKISOBA 3 SERV","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-9250258-002840004767","9250258","002840004767","SNCA","PRETZELS TAKE HOME BAGGED/CANISTER SNACKS","20","338","THINS/LGTWIST PRETZELS TAKE HOME BAG/CAN","1","THINS/LGTWIST PRETZELS TAKE HOME BAG/CAN","1","SALTY SNACKS","9","SALTY BAGGED/CANISTER SNACKS","1","","001479","004","0","FRITO LAY ROLD GOLD CLASSIC THINS","0","LB","0.001","1.00","I","","Y","N","FRITO LAY INC"
"SNCA-48850435-001115220022","48850435","001115220022","SNCA","ALL OTHER FROZEN PREPARED FOODS","0","317","ALL OTHER FROZEN PREPARED FOODS","0","ALL OTHER FROZEN PREPARED FOODS","0","PREPARED FROZEN FOODS","48","ALL OTHER FROZEN PREPARED FOODS","85","","004215","001","null","MYOJO RAMEN - SEAFOOD & TONKOTSU","0","LB","0.001","1.00","I"
"SNCA-19033674-001512419042","19033674","001512419042","SNCA","GROUND PREPACKAGED COFFEE/HOT","10","301","PREMIUM GROUND PREPACKAGE COFFEE/HOT","10","PREMIUM GROUND PREPACKAGE COFFEE/HOT","10","COFFEE/TEA/HOT COCOA/CREAM/FILTERS","19","PREPACKAGED COFFEE/HOT","3","","027735","001","0","PEERLESS ORGANIC BREAKFAST BLEND COFFEE","0","LB","0.001","1.00","I","","Y","N","WHITE SHADOW GROUP LLC"
"SNCA-19031909-078535701599","19031909","078535701599","SNCA","WHOLE PREPACKAGE COFFEE/HOT","5","301","PREMIUM WHOLE PREPKGD COFFEE/HOT","10","PREMIUM WHOLE PREPKGD COFFEE/HOT","10","COFFEE/TEA/HOT COCOA/CREAM/FILTERS","19","PREPACKAGED COFFEE/HOT","3","","019258","001","0","PEETS BIG BANG BAG WHOLE BEAN","0","LB","0.001","1.00","I","","Y","N","PEETS COFFEE & TEA INC"
"SNCA-19032756-078011510633","19032756","078011510633","SNCA","GROUND PREPACKAGED COFFEE/HOT","10","301","PREMIUM GROUND PREPACKAGE COFFEE/HOT","10","PREMIUM GROUND PREPACKAGE COFFEE/HOT","10","COFFEE/TEA/HOT COCOA/CREAM/FILTERS","19","PREPACKAGED COFFEE/HOT","3","","023514","001","null","JEREMIAHS PICK FOGBUSTER ORG GROUND COFFEE","0","LB","0.001","6.00","I"
"SNCA-19030333-078714800211","19030333","078714800211","SNCA","WHOLE PREPACKAGE COFFEE/HOT","5","301","PREMIUM WHOLE PREPKGD COFFEE/HOT","10","PREMIUM WHOLE PREPKGD COFFEE/HOT","10","COFFEE/TEA/HOT COCOA/CREAM/FILTERS","19","PREPACKAGED COFFEE/HOT","3","","027735","001","0","TRAIL - DARK","0","LB","0.001","1.00","I","","Y","N","WHITE SHADOW GROUP LLC"
"SNCA-3200915-083330200664","3200915","083330200664","SNCA","ALL OTHER FLAVORED/FUNCTIONAL WATER","40","313","FULL CALORIE ALL OTHER WATER","1","FULL CALORIE ALL OTHER WATER","1","NON CARBONATED BEVERAGES","3","FLAVORED/FUNCTIONAL WATER","25","","006446","001","0","AQUA KOLA BEV SPRKLNG CHERRY","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-25301581-001356210099","25301581","001356210099","SNCA","ORGANIC READY TO SERVE SOUP","10","302","ORGANIC MEAT READY TO SERVE SOUP","5","ORGANIC MEAT READY TO SERVE SOUP","5","SOUPS","25","READY TO SERVE SOUP","30","","006446","001","0","ANN ORG SOUP CHICKEN STARS","0","LB","0.001","8.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-8050987-007800001846","8050987","007800001846","SNCA","CSD 2 LITER PET","40","313","DR PEPPER/7-UP 2 LITER PET","10","DR PEPPER/7-UP 2 LITER PET","10","CARBONATED BEVERAGES & MIXERS","8","CARBONATED SOFT DRINKS","1","","001906","012","0","SQUIRT RUBY RED SODA","0","LB","0.001","8.00","I","","Y","N","7UP BOTTLING CO."
"SNCA-7200069-008915600136","7200069","008915600136","SNCA","SPECIALTY OLIVES","10","302","ALL OTHER SPECIALTY OLIVES","85","ALL OTHER SPECIALTY OLIVES","85","PICKLES","PEPPERS"," RELISH & MARINATED VEGETABLES","7","OLIVES","20","","006446","001","0","SANTA BARBARA BLEU CHEESE STUFFED OLIVES","0","LB","0.001","6.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-32070034-081833601189","32070034","081833601189","SNCA","DRY CAT FOOD","30","327","0-4.39LB DRY CAT FOOD","1","0-4.39LB DRY CAT FOOD","1","PET FOOD & PET NEEDS","32","CAT FOOD DRY","7","","006446","001","0","I AND LOVE AND YOU KIBBLE SALMON & TROUT","0","LB","0.001","3.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-89011151-007289000020","89011151","007289000020","SNCA","IMPORT BEER","10","305","EUROPEAN IMPORT BEER","25","EUROPEAN IMPORT BEER","25","ALCOHOLIC BEVERAGES","89","BEER","1","","003378","001","0","HEINEKEN LAGER BEER KEG CANS","60","LB","0.001","2.00","I","","Y","N","BAY AREA BEVERAGE CO"
"SNCA-19200406-086052100011","19200406","086052100011","SNCA","CREAMERS AND ADDITIVES COFFEE/HOT","0","301","CREAMERS AND ADDITIVES COFFEE/HOT","0","CREAMERS AND ADDITIVES COFFEE/HOT","0","COFFEE/TEA/HOT COCOA/CREAM/FILTERS","19","CREAMERS AND ADDITIVES COFFEE/HOT","20","","006446","001","0","NUTPODS CREAMER DF OGRNLL","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-27204134-007270010403","27204134","007270010403","SNCA","NOODLES KOSHER SPECIALTY FOODS","18","301","OTHER NOODLES KOSHER SPECIALTY FOODS","5","OTHER NOODLES KOSHER SPECIALTY FOODS","5","ETHNIC"," GOURMET & SPECIALTY","27","KOSHER SPECIALTY FOODS","20","","006446","001","0","MANISCHEWITZ FINE EGG NOODLES","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-28200339-008147534789","28200339","008147534789","SNCA","PREMIUM IMPORT DRY PASTA & NOODLES","10","302","LONG CUTS PREMIUM IMPORT DRY PASTA & NOODLES","10","LONG CUTS PREMIUM IMPORT DRY PASTA & NOODLES","10","PASTA & PASTA SAUCE","28","DRY PASTA & NOODLES","20","","006446","001","0","AL DENTE SPINACH FETTUCCINE","0","LB","0.001","6.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-89011610-085961200103","89011610","085961200103","SNCA","CRAFT BEER","15","305","ALE CRAFT BEER","1","ALE CRAFT BEER","1","ALCOHOLIC BEVERAGES","89","BEER","1","","003378","001","0","21ST AMENDMENT BREW FREE OR DIE INDIA PALE ALE CANS","0","LB","0.001","4.00","I","","Y","N","BAY AREA BEVERAGE CO"
"SNCA-30030865-081466901065","30030865","081466901065","SNCA","CUPS TABLE TOP","15","335","HOT CUPS","15","HOT CUPS","15","PAPER","30","TABLE TOP","3","","006446","001","0","CUP PAPER HOT COMPOST 12Z","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-27055098-001115220508","27055098","001115220508","SNCA","ASIAN VEGETABLES","5","301","CANNED ASIAN VEGETABLES","10","CANNED ASIAN VEGETABLES","10","ETHNIC"," GOURMET & SPECIALTY","27","ASIAN FOODS","5","","004959","006","0","WP KIZAMI SHOGA","0","LB","0.001","12.00","I","","Y","N","JFC INTL INC"
"SNCA-42010215-004154806992","42010215","004154806992","SNCA","PREMIUM PACKAGED ICE CREAM","5","317","HEALTHY ALT PREMIUM PACKAGED ICE CREAM","5","HEALTHY ALT PREMIUM PACKAGED ICE CREAM","5","ICE CREAM","42","PACKAGED ICE CREAM","1","","001499","002","0","DREYERS / EDYS BERRY RAINBOW SHERBET","0","LB","0.001","1.00","I","","Y","N","NESTLE DSD"
"SNCA-14100260-002460001086","14100260","002460001086","SNCA","TABLE SALT","1","302","IODIZED TABLE SALT","1","IODIZED TABLE SALT","1","SALT/SEASONING/SPICES/CANNING SUPPLIES","14","SALT","10","","006446","001","0","MORTON CAN AND PICKLE SALT","0","LB","0.001","9.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-48200771-080717671154","48200771","080717671154","SNCA","REGULAR FROZEN DINNERS ENTREES & SIDES FOR ONE","1","317","PREMIUM REG FROZEN DINNER ENTREE/SIDES FOR ONE","1","PREMIUM REG FROZEN DINNER ENTREE/SIDES FOR ONE","1","PREPARED FROZEN FOODS","48","FROZEN DINNERS ENTREES & SIDES FOR ONE","1","","006446","001","0","BIBIGO CHICKEN GOCHUJANG BOWL","0","LB","0.001","8.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-96050799-007313002552","96050799","007313002552","SNCA","REGULAR VARIETY BREADS","1","336","PREMIUM REGULAR VARIETY BREADS","5","PREMIUM REGULAR VARIETY BREADS","5","COMMERCIAL FRESH BREAD","96","VARIETY BREADS COMMERCIAL FRESH BREAD","20","","001430","003","0","OROWEAT BREAD RYE EXTRA SOUR","0","LB","1.000","1.00","I","","Y","N","BIMBO BAKERIES USA INC"
"SNCA-6050125-001550019135","6050125","001550019135","SNCA","CREAMY DRY MIXES","1","302","CREAMY DRY MIXES","0","CREAMY DRY MIXES","0","MAYONNAISE"," SALAD DRESSINGS & TOPPINGS","6","DRY MIXES","5","","001463","002","0","LAURA SCUDDERS RANCH MIX DIP","0","LB","0.001","1.00","I","","Y","N","SNYDERS OF HANOVER"
"SNCA-42011807-007457065140","42011807","007457065140","SNCA","SUPER PREMIUM PACKAGED ICE CREAM","1","317","TRADITIONAL SUPER PREM PACKAGED ICE CREAM","1","TRADITIONAL SUPER PREM PACKAGED ICE CREAM","1","ICE CREAM","42","PACKAGED ICE CREAM","1","","000912","028","null","HAAGEN DAZS GREEN TEA ICE CREAM","0","LB","6.550","8.00","I","217"
"SNCA-16150060-002529300272","16150060","002529300272","SNCA","ALL OTHER FLAVORS"," MILK AND MILK DRINKS","85","302","ALL OTHER FLAVORS"," MILK AND MILK DRINKS","0","ALL OTHER FLAVORS"," MILK AND MILK DRINKS","0","MILK/CANNED & POWDERED","16","STERILIZED MILK"," MILK DRINKS"," AND SUBSTITUTES","15","","006446","001","0","SILK ALMOND MILK DARK CHOCOLATE","0","LB","0.001","3.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-9600058-007041101345","9600058","007041101345","SNCA","OTHER MEAT SNACKS","90","338","OTHER OTHER MEAT SNACKS","90","OTHER OTHER MEAT SNACKS","90","SALTY SNACKS","9","MEAT SNACKS","15","","003697","001","0","OBERTO TERIYAKI TURKEY JERKY","0","LB","0.001","1.00","I","","Y","N","GRAN'PA DON'S SALES"
"SNCA-3350734-061076486363","3350734","061076486363","SNCA","ALL OTHER RTD ENERGY","45","313","REGULAR ALL OTHER RTD ENERGY","1","REGULAR ALL OTHER RTD ENERGY","1","NON CARBONATED BEVERAGES","3","ENERGY","35","","003470","001","0","BANG ENERGY BLUE RAZZ","0","LB","0.001","12.00","I","","Y","N","MARKSTEIN BEVERAGE CO"
"SNCA-42010390-004154801685","42010390","004154801685","SNCA","PREMIUM PACKAGED ICE CREAM","5","317","TRADITIONAL PREMIUM PACKAGED ICE CREAM","1","TRADITIONAL PREMIUM PACKAGED ICE CREAM","1","ICE CREAM","42","PACKAGED ICE CREAM","1","","001499","002","0","DREYERS / EDYS GRAND COFFEE ICE CREAM","0","LB","0.001","1.00","I","","Y","N","NESTLE DSD"
"SNCA-7100118-004133102874","7100118","004133102874","SNCA","DILL RELISH","10","302","DILL RELISH","0","DILL RELISH","0","PICKLES","PEPPERS"," RELISH & MARINATED VEGETABLES","7","RELISH","10","","006446","001","0","GOYA CHILPOTLE PEPPERS","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-95014313-001360902057","95014313","001360902057","SNCA","ISB DESSERT CAKES ( BUTTER CREAM)","1","316","ISB CUPCAKES BUTTER CREAM CAKES","35","ISB CUPCAKES BUTTER CREAM CAKES","35","IN-STORE SWEET BAKED GOODS","95","ISB DESSERTS","1","","000013","025","0","JD ORGANIC CHOC CUPCAKE","0","LB","0.001","1.00","I","","Y","N","DUMMY VENDOR SAFEWAY MEAT"
